timestamp,humidity,pir,motion,mic,temperature
1361910076000,28.60,1,1,6,20.60
1361910082000,28.70,1,0,3,20.60
1361910087000,28.70,1,0,8,20.70
1361910093000,28.70,0,0,7,20.70
1361910099000,28.60,0,-1,1,20.60
1361910104000,28.60,0,0,0,20.60
1361910110000,28.70,1,0,7,20.70
1361910116000,28.70,0,1,7,20.60
1361910122000,28.70,1,-1,6,20.70
1361910127000,28.70,0,1,3,20.70
1361910133000,28.70,1,-1,4,20.70
1361910139000,28.60,1,1,0,20.60
1361910144000,28.60,1,0,6,20.60
1361910150000,28.60,1,0,3,20.60
1361910156000,28.60,1,0,7,20.60
1361910162000,28.60,0,0,5,20.60
1361910167000,28.60,0,-1,4,20.70
1361910173000,28.60,1,0,2,20.60
1361910179000,28.60,0,1,4,20.60
1361910184000,28.60,1,-1,7,20.60
1361910190000,28.60,0,1,4,20.60
1361910196000,28.60,0,-1,4,20.60
1361910202000,28.50,0,0,3,20.60
1361910207000,28.50,0,0,1,20.60
1361910213000,28.50,0,0,1,20.60
1361910219000,28.50,0,0,6,20.60
1361910224000,28.50,0,0,4,20.60
1361910230000,28.50,1,0,3,20.60
1361910236000,28.50,0,1,0,20.60
1361910242000,28.60,0,-1,5,20.60
1361910247000,28.60,0,0,5,20.60
1361910253000,28.60,1,0,6,20.60
1361910259000,28.60,0,1,5,20.60
1361910265000,28.60,0,-1,5,20.60
1361910270000,28.60,0,0,4,20.60
1361910276000,28.60,0,0,4,20.60
1361910282000,28.50,0,0,4,20.60
1361910287000,28.60,0,0,3,20.60
1361910293000,28.60,0,0,5,20.60
1361910299000,28.60,0,0,4,20.60
1361910305000,28.60,0,0,4,20.60
1361910310000,28.60,0,0,5,20.60
1361910316000,28.60,0,0,3,20.60
1361910322000,28.60,1,0,4,20.60
1361910327000,28.60,1,1,5,20.60
1361910333000,28.60,0,0,2,20.60
1361910339000,28.60,0,-1,3,20.60
1361910345000,28.60,0,0,3,20.60
1361910350000,28.60,0,0,2,20.60
1361910356000,28.60,0,0,3,20.50
1361910362000,28.50,0,0,4,20.50
1361910367000,28.50,0,0,6,20.50
1361910373000,28.60,0,0,5,20.50
1361910379000,28.60,0,0,6,20.50
1361910385000,28.60,0,0,4,20.50
1361910390000,28.70,0,0,5,20.50
1361910396000,28.70,0,0,5,20.50
1361910402000,28.70,1,0,3,20.50
1361910408000,28.70,0,1,4,20.50
1361910413000,28.70,0,-1,7,20.50
1361910419000,28.70,0,0,3,20.50
1361910425000,28.80,0,0,4,20.50
1361910430000,28.80,0,0,4,20.50
1361910436000,28.80,1,0,4,20.50
1361910442000,28.80,0,1,3,20.50
1361910448000,28.70,0,-1,5,20.50
1361910453000,28.80,0,0,5,20.50
1361910459000,28.90,0,0,4,20.50
1361910465000,28.90,0,0,3,20.50
1361910470000,28.90,0,0,4,20.40
1361910476000,28.90,0,0,1,20.40
1361910482000,29.00,0,0,4,20.50
1361910488000,28.90,0,0,4,20.40
1361910493000,28.80,0,0,6,20.40
1361910499000,28.80,0,0,2,20.40
1361910505000,28.90,0,0,8,20.40
1361910510000,28.90,0,0,4,20.40
1361910516000,28.90,0,0,3,20.40
1361910522000,28.80,0,0,8,20.40
1361910528000,28.90,0,0,1,20.40
1361910533000,28.90,1,0,4,20.40
1361910539000,28.80,0,1,5,20.40
1361910545000,28.80,0,-1,2,20.40
1361910550000,28.80,0,0,5,20.40
1361910556000,28.80,0,0,5,20.40
1361910562000,28.90,1,0,3,20.40
1361910568000,28.90,0,1,6,20.40
1361910573000,28.90,0,-1,4,20.40
1361910579000,28.90,0,0,4,20.40
1361910585000,28.90,0,0,3,20.40
1361910591000,28.90,0,0,5,20.40
1361910596000,28.90,0,0,6,20.40
1361910602000,28.90,0,0,5,20.40
1361910608000,28.90,0,0,6,20.40
1361910613000,28.90,0,0,6,20.40
1361910619000,28.90,0,0,5,20.40
1361910625000,28.90,0,0,6,20.40
1361910631000,28.90,0,0,6,20.40
1361910636000,28.90,0,0,6,20.40
1361910642000,29.00,0,0,4,20.50
1361910648000,28.90,0,0,5,20.50
1361910653000,28.90,0,0,7,20.50
1361910659000,28.80,0,0,5,20.50
1361910665000,28.80,0,0,4,20.50
1361910671000,28.80,1,0,6,20.50
1361910676000,28.80,0,1,3,20.50
1361910682000,28.70,0,-1,2,20.50
1361910688000,28.70,0,0,3,20.50
1361910693000,28.70,0,0,5,20.50
1361910699000,28.70,0,0,1,20.50
1361910705000,28.70,0,0,0,20.50
1361910711000,28.60,1,0,5,20.60
1361910716000,28.60,0,1,6,20.50
1361910722000,28.60,1,-1,0,20.50
1361910728000,28.70,0,1,2,20.50
1361910734000,28.70,0,-1,3,20.50
1361910739000,28.70,0,0,6,20.50
1361910745000,28.70,0,0,6,20.50
1361910751000,28.80,1,0,2,20.50
1361910756000,28.80,0,1,4,20.50
1361910762000,28.80,0,-1,5,20.50
1361910768000,28.80,0,0,4,20.50
1361910774000,28.80,0,0,8,20.50
1361910779000,28.80,0,0,6,20.50
1361910785000,28.80,0,0,5,20.50
1361910791000,28.70,0,0,6,20.50
1361910797000,28.70,0,0,7,20.50
1361910802000,28.80,0,0,5,20.50
1361910808000,28.70,0,0,2,20.50
1361910814000,28.70,0,0,4,20.50
1361910819000,28.80,1,0,2,20.50
1361910825000,29.00,0,1,5,20.50
1361910831000,29.00,0,-1,8,20.50
1361910836000,29.10,0,0,8,20.50
1361910842000,30.40,0,0,5,20.50
1361910848000,30.30,0,0,4,20.50
1361910854000,29.90,0,0,10,20.50
1361910859000,29.60,0,0,9,20.50
1361910865000,29.40,0,0,5,20.50
1361910871000,29.30,0,0,0,20.50
1361910877000,29.10,0,0,9,20.50
1361910882000,29.00,1,0,4,20.50
1361910888000,29.00,0,1,3,20.50
1361910894000,29.10,0,-1,7,20.50
1361910899000,29.00,0,0,3,20.50
1361910905000,28.90,0,0,4,20.60
1361910911000,28.90,0,0,4,20.60
1361910917000,28.80,1,0,6,20.60
1361910922000,28.80,0,1,4,20.60
1361910928000,28.70,0,-1,6,20.50
1361910934000,28.70,0,0,7,20.60
1361910939000,28.70,0,0,4,20.60
1361910945000,28.80,0,0,5,20.60
1361910951000,28.90,0,0,5,20.60
1361910957000,28.90,0,0,4,20.60
1361910962000,28.90,1,0,5,20.60
1361910968000,28.80,0,1,4,20.60
1361910974000,28.90,0,-1,0,20.60
1361910980000,29.20,0,0,0,20.60
1361910985000,29.10,1,0,5,20.60
1361910991000,29.00,0,1,9,20.60
1361910997000,28.90,0,-1,5,20.60
1361911002000,28.80,0,0,3,20.60
1361911008000,29.10,0,0,4,20.70
1361911014000,29.20,1,0,4,20.70
1361911019000,29.10,1,1,3,20.60
1361911025000,29.00,0,0,3,20.60
1361911031000,28.90,0,-1,3,20.70
